userId,movieId,rating
1,1,4.0
1,47,5.0
1,50,5.0
1,70,3.0
1,101,5.0
1,110,4.0
1,151,5.0
1,163,5.0
1,231,5.0
1,235,4.0
1,260,5.0
1,296,3.0
1,356,4.0
1,367,4.0
1,441,4.0
1,457,5.0
1,480,4.0
1,500,3.0
1,553,5.0
1,590,4.0
1,592,4.0
1,593,4.0
1,596,5.0
2,318,3.0
4,21,3.0
4,45,3.0
4,47,2.0
4,125,5.0
4,215,5.0
4,235,2.0
4,247,3.0
4,260,5.0
4,296,1.0
4,348,4.0
4,441,1.0
4,457,5.0
4,509,1.0
4,553,2.0
4,588,4.0
4,593,5.0
4,599,2.0
5,1,4.0
5,21,4.0
5,34,4.0
5,36,4.0
5,39,3.0
5,50,4.0
5,150,3.0
5,153,3.0
5,247,5.0
5,253,3.0
5,261,4.0
5,266,1.0
5,296,5.0
5,318,3.0
5,344,3.0
5,349,3.0
5,357,2.0
5,364,3.0
5,367,4.0
5,380,2.0
5,457,4.0
5,515,3.0
5,527,5.0
5,588,4.0
5,590,5.0
5,592,3.0
5,594,5.0
5,596,5.0
5,597,3.0
6,10,3.0
6,11,4.0
6,15,4.0
6,16,4.0
6,17,4.0
6,19,2.0
6,21,2.0
6,22,5.0
6,25,3.0
6,34,4.0
6,36,5.0
6,45,3.0
6,47,4.0
6,50,1.0
6,60,4.0
6,61,4.0
6,62,4.0
6,79,3.0
6,86,5.0
6,92,4.0
6,93,4.0
6,95,4.0
6,100,3.0
6,104,4.0
6,110,5.0
6,112,4.0
6,140,3.0
6,145,4.0
6,150,4.0
6,153,3.0
6,158,4.0
6,160,5.0
6,161,3.0
6,163,3.0
6,165,3.0
6,168,5.0
6,170,3.0
6,180,2.0
6,185,3.0
6,191,2.0
6,196,3.0
6,208,3.0
6,224,3.0
6,225,4.0
6,231,3.0
6,253,3.0
6,254,3.0
6,261,4.0
6,266,3.0
6,292,4.0
6,296,2.0
6,303,3.0
6,315,4.0
6,317,4.0
6,318,5.0
6,327,1.0
6,329,4.0
6,330,3.0
6,337,5.0
6,344,3.0
6,348,3.0
6,349,5.0
6,350,5.0
6,352,3.0
6,353,4.0
6,356,5.0
6,364,5.0
6,366,3.0
6,367,4.0
6,370,4.0
6,374,3.0
6,377,5.0
6,380,4.0
6,382,3.0
6,383,3.0
6,405,3.0
6,412,3.0
6,434,4.0
6,454,4.0
6,457,5.0
6,480,5.0
6,485,3.0
6,493,3.0
6,494,3.0
6,497,3.0
6,500,5.0
6,508,4.0
6,509,3.0
6,510,3.0
6,515,4.0
6,516,4.0
6,527,3.0
6,546,2.0
6,553,5.0
6,587,5.0
6,588,5.0
6,589,3.0
6,590,5.0
6,593,4.0
6,594,4.0
6,596,3.0
6,597,4.0
7,1,4.5
7,50,4.5
7,150,4.5
7,165,4.0
7,356,5.0
7,380,3.0
7,480,5.0
7,587,2.0
7,588,3.0
7,589,2.5
7,592,3.0
7,593,5.0
8,10,2.0
8,11,4.0
8,21,4.0
8,34,5.0
8,39,3.0
8,47,4.0
8,50,5.0
8,110,3.0
8,153,2.0
8,185,5.0
8,208,3.0
8,231,4.0
8,235,3.0
8,253,5.0
8,292,3.0
8,296,4.0
8,317,3.0
8,318,5.0
8,356,3.0
8,357,5.0
8,364,5.0
8,367,3.0
8,380,5.0
8,454,4.0
8,480,4.0
8,500,2.0
8,527,5.0
8,586,3.0
8,587,3.0
8,590,5.0
8,592,3.0
8,593,4.0
8,597,3.0
9,41,3.0
9,223,4.0
10,296,1.0
10,356,3.5
10,588,4.0
10,597,3.5
11,10,3.0
11,36,4.0
11,44,2.0
11,95,3.0
11,110,5.0
11,150,5.0
11,153,3.0
11,170,4.0
11,208,3.0
11,318,4.0
11,349,5.0
11,356,5.0
11,377,3.0
11,380,4.0
11,434,3.0
11,457,5.0
11,493,3.0
11,589,4.0
11,593,5.0
12,39,4.0
12,168,5.0
12,261,4.5
13,47,5.0
13,597,3.0
14,25,4.0
14,95,5.0
14,105,3.0
14,110,5.0
14,150,4.0
14,153,2.0
14,193,3.0
14,231,3.0
14,266,5.0
14,296,3.0
14,337,5.0
14,344,2.0
14,356,4.0
14,367,1.0
14,376,4.0
14,377,3.0
14,383,4.0
