userId,movieId,rating,timestamp
1,1,4.0,964982703
1,47,5.0,964983815
1,50,5.0,964982931
1,110,4.0,964982176
1,260,5.0,964981680
1,296,3.0,964982967
1,356,4.0,964980962
1,367,4.0,964981710
1,457,5.0,964981909
1,480,4.0,964982346
1,500,3.0,964981208
1,527,5.0,964984002
1,590,4.0,964982546
1,592,4.0,964982271
1,593,4.0,964983793
1,608,5.0,964982931
1,648,3.0,964982563
1,780,3.0,964984086
1,1196,5.0,964981827
1,1198,5.0,964981827
1,1210,5.0,964980499
1,1214,4.0,964981855
1,1270,5.0,964983705
1,1580,3.0,964981125
1,2028,4.0,964981888
1,2571,5.0,964981888
1,2858,5.0,964980868
1,2959,5.0,964983282
1,3578,5.0,964980668
2,318,3.0,1445714835
2,3578,4.0,1445714885
2,58559,4.5,1445715141
3,527,0.5,1306464275
4,32,2.0,945173447
4,47,2.0,945173425
4,260,5.0,945079259
4,296,1.0,945173350
4,457,5.0,945079259
4,588,4.0,945079670
4,593,5.0,964539986
4,595,3.0,986848609
4,608,5.0,964540008
4,648,3.0,945079906
4,1196,5.0,964538763
4,1198,3.0,964538728
4,1580,3.0,986935244
4,2571,1.0,945173385
4,2762,4.0,964539986
4,2858,5.0,964539140
4,2959,2.0,945078528
4,4226,2.0,1007569424
5,1,4.0,847434962
5,50,4.0,847434881
5,110,4.0,847434880
5,150,3.0,847434748
5,296,5.0,847434748
5,318,3.0,847434880
5,344,3.0,847434802
5,364,3.0,847434882
5,367,4.0,847435129
5,380,2.0,847434748
5,457,4.0,847434801
5,527,5.0,847434960
5,588,4.0,847434801
5,589,3.0,847435258
5,590,5.0,847434747
5,592,3.0,847434747
5,595,5.0,847434832
5,608,3.0,847435258
6,32,4.0,845553426
6,47,4.0,845553317
6,50,1.0,845553381
6,110,5.0,845553283
6,150,4.0,845553110
6,165,3.0,845553146
6,296,2.0,845553110
6,318,5.0,845553200
6,344,3.0,845553146
6,356,5.0,845553200
6,364,5.0,845553317
6,367,4.0,845553317
6,377,5.0,845553317
6,380,4.0,845553110
6,457,5.0,845553174
6,480,5.0,845553200
6,500,5.0,845553354
6,527,3.0,845553426
6,588,5.0,845553146
6,589,3.0,845553317
6,590,5.0,845553109
6,592,3.0,845553109
