userId,movieId,rating,timestamp
1,457,5.0,964981909
1,592,4.0,964982271
1,1210,5.0,964980499
1,2959,5.0,964983282
4,588,4.0,945079670
5,50,4.0,847434881
6,47,4.0,845553317
6,110,5.0,845553283
6,590,5.0,845553109
7,588,3.0,1106635971
7,780,4.5,1106635943
8,47,4.0,839463546
10,2571,0.5,1455356378
10,2858,1.0,1455356578
11,457,5.0,902154316
14,47,5.0,835441133
14,367,1.0,835441210
15,260,5.0,1510571946
15,2762,3.0,1510571764
16,527,4.0,1377476787
16,858,2.5,1377476772
17,527,4.5,1305696664
17,592,4.5,1305696480
17,1036,4.0,1305696741
17,2028,4.5,1305696726
17,5952,5.0,1305696823
18,1,3.5,1455209816
18,47,4.5,1455050013
18,50,5.0,1455049343
18,377,2.5,1455209879
18,648,3.0,1455209873
18,780,4.0,1455209824
18,858,4.0,1455050024
20,364,5.0,1054038067
21,260,4.5,1417378080
21,356,4.5,1407617845
21,592,3.5,1419795406
21,1270,5.0,1407617830
21,2959,2.0,1441392954
21,4993,1.5,1419025153
22,4226,3.0,1268726490
23,32,3.5,1107341750
23,296,3.5,1107163773
24,1580,4.0,1458941715
24,2028,4.0,1458941924
25,527,5.0,1535470432
26,457,4.0,836950379
27,356,5.0,965149932
27,364,4.0,962685351
27,367,4.0,965150022
27,590,4.0,962685883
27,780,3.0,962686571
28,527,3.0,1234570054
28,592,2.5,1234516064
28,780,3.0,1234516111
28,858,4.5,1234338178
28,2858,4.0,1234338144
29,1198,4.5,1307906966
31,648,5.0,850466616
32,318,5.0,856737003
32,648,3.0,856736119
33,608,4.0,939647444
33,2028,5.0,939646902
33,2762,4.0,939646424
34,318,4.0,1162050357
34,356,4.0,1162049069
34,1036,2.5,1166463521
34,4226,4.5,1162049184
37,150,5.0,845239388
37,380,2.0,845239388
37,593,5.0,845239426
38,500,3.0,841341362
38,648,4.0,841341618
39,296,5.0,974789540
39,1198,4.0,974789111
39,2858,5.0,974788291
40,1,5.0,832058959
41,296,5.0,1458933695
42,527,4.0,996217804
43,589,5.0,848993769
44,260,5.0,869251910
45,364,5.0,950726215
45,589,5.0,950726569
45,648,4.0,950740583
45,2959,5.0,1007483918
45,3578,5.0,1020803425
45,4993,5.0,1034343730
46,165,4.0,834787677
47,2028,4.0,1496205180
47,2762,3.0,1496205184
49,2571,4.5,1493093047
51,260,5.0,1230931614
51,2762,5.0,1230929240
54,50,3.0,830248246
54,377,3.0,839921390
